St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  283 1046]
40,50,20,Mode,40,[   0  285 1046]
40,50,20,Median,40,[   0   54  203  285 1046]
40,50,20,Mode,40,[   0   54  206  285 1046]
40,50,20,Median,40,[   0   54  206  285 1046]
40,50,20,Mode,40,[   0   54  206  285 1046]
40,50,20,Median,40,[   0   54  144  206  285  339 1046]
40,50,20,Mode,40,[   0   54  144  206  285  339 1046]
40,50,20,Median,40,[   0   54  144  206  285  339 1046]
40,50,20,Mode,40,[   0   54  144  206  285  339 1046]
40,50,20,Median,40,[   0   54  144  206  285  339 1046]
40,50,20,Mode,40,[   0   54  144  206  285  339 1046]
40,50,20,Median,40,[   0   54  144  206  285  339 1046]
40,50,20,Mode,40,[   0   54  144  206  285  339 1046]
40,50,20,Median,40,[   0   54  144  203  285  339 1046]
40,50,20,Mode,40,[   0   54  144  214  285  339 1046]
40,50,20,Median,40,[   0   54  144  203  285  339 1046]
40,50,20,Mode,40,[   0   54  144  214  285  339 1046]
