St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  124  682 1046]
40,50,20,Mode,40,[   0  124  682 1046]
40,50,20,Median,40,[   0  124  565 1046]
40,50,20,Mode,40,[   0  124  962 1046]
40,50,20,Median,40,[   0  124  534  682 1046]
40,50,20,Mode,40,[   0  124  552  682 1046]
40,50,20,Median,40,[   0  124  534  682  823  962 1046]
40,50,20,Mode,40,[   0  124  552  682  823  962 1046]
40,50,20,Median,40,[   0  124  193  534  682  823  962 1046]
40,50,20,Mode,40,[   0  124  193  552  682  823  962 1046]
40,50,20,Median,40,[   0  124  193  534  682  823  962 1046]
40,50,20,Mode,40,[   0  124  193  552  682  823  962 1046]
40,50,20,Median,40,[   0  124  193  252  534  682  823  962 1046]
40,50,20,Mode,40,[   0  124  193  552  682  823  962 1046]
40,50,20,Median,40,[   0  124  193  258  522  682  823  962 1046]
40,50,20,Mode,40,[   0  124  193  247  522  682  823  962 1046]
40,50,20,Median,40,[   0  124  193  258  522  682  823  962 1046]
40,50,20,Mode,40,[   0  124  193  247  522  682  823  962 1046]
