St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  275 1046]
40,50,20,Mode,40,[   0   51 1046]
40,50,20,Median,40,[   0   51  430  605 1046]
40,50,20,Mode,40,[   0   51  430  528 1046]
40,50,20,Median,40,[   0   51  430  583 1046]
40,50,20,Mode,40,[   0   51  430  528 1046]
40,50,20,Median,40,[   0   51  313  430  636 1046]
40,50,20,Mode,40,[   0   51  313  430  636  935 1046]
40,50,20,Median,40,[   0   51  313  430  528 1046]
40,50,20,Mode,40,[   0   51  313  430  528  636  935 1046]
40,50,20,Median,40,[   0   51  313  430  528  583  638 1046]
40,50,20,Mode,40,[   0   51  313  430  528  583  636  935 1046]
40,50,20,Median,40,[   0   51  313  430  528  583  636 1046]
40,50,20,Mode,40,[   0   51  313  430  528  583  636  935 1046]
40,50,20,Median,40,[   0   51  313  430  528  583  636  935 1046]
40,50,20,Mode,40,[   0   51  313  430  528  583  636  725  838  935 1046]
40,50,20,Median,40,[   0   51  313  430  528  583  636  935 1046]
40,50,20,Mode,40,[   0   51  313  430  528  583  636  725  838  935 1046]
