St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  124  687 1046]
40,50,20,Mode,40,[   0  124 1046]
40,50,20,Median,40,[   0  124  554 1046]
40,50,20,Mode,40,[   0  124  522 1046]
40,50,20,Median,40,[   0  124  522  687  864 1046]
40,50,20,Mode,40,[   0  124  522  687  864 1046]
40,50,20,Median,40,[   0  124  522  687  864  962 1046]
40,50,20,Mode,40,[   0  124  522  687  864  962 1046]
40,50,20,Median,40,[   0  124  206  522  687  864  962 1046]
40,50,20,Mode,40,[   0  124  206  522  687  864  962 1046]
40,50,20,Median,40,[   0  124  206  522  687  864  962 1046]
40,50,20,Mode,40,[   0  124  206  522  687  864  962 1046]
40,50,20,Median,40,[   0  124  206  522  687  864  962 1046]
40,50,20,Mode,40,[   0  124  206  522  687  864  962 1046]
40,50,20,Median,40,[   0  124  206  258  522  687  864  962 1046]
40,50,20,Mode,40,[   0  124  206  258  522  687  864  962 1046]
40,50,20,Median,40,[   0  124  206  258  484  687  864  962 1046]
40,50,20,Mode,40,[   0  124  206  258  484  687  864  962 1046]
